ID,Date,Element,Data_Value
USC00029634,2005-09-19,TMIN,206
USC00023027,2007-10-15,TMIN,128
USW00023183,2005-04-06,TMIN,133
USC00028499,2012-10-23,TMIN,117
USC00024977,2007-12-13,TMIN,28
USW00023183,2006-11-03,TMIN,133
USC00021306,2008-06-28,TMIN,244
USC00028499,2012-10-23,TMAX,300
USC00024829,2014-12-12,TMIN,128
USC00021306,2008-06-28,TMAX,433
USW00023183,2007-03-17,TMAX,372
USC00029634,2014-07-07,TMAX,417
USC00027187,2013-06-09,TMAX,417
USC00023027,2005-07-04,TMAX,428
USC00029634,2008-09-19,TMAX,378
USC00028499,2009-09-16,TMIN,172
USW00023183,2013-01-10,TMIN,78
USC00023027,2007-03-25,TMIN,100
USC00021314,2015-06-21,TMAX,439
USC00028499,2008-02-27,TMAX,283
USC00025270,2005-07-14,TMIN,306
USW00053156,2013-01-03,TMIN,44
USC00024977,2008-10-20,TMAX,333
USC00024977,2011-07-03,TMAX,444
USC00024977,2006-11-27,TMAX,194
USC00024977,2008-10-20,TMIN,200
USC00028112,2006-06-25,TMIN,283
USC00025270,2007-08-27,TMIN,261
USC00029634,2008-11-01,TMAX,328
USC00023027,2005-01-18,TMAX,250
USC00027370,2008-02-28,TMIN,89
USW00053162,2013-04-19,TMAX,275
USW00023183,2007-03-17,TMIN,189
USC00021314,2013-03-28,TMIN,94
USC00024977,2011-07-03,TMIN,306
USC00025270,2009-06-09,TMAX,367
USC00024977,2007-12-13,TMAX,156
USC00029634,2005-05-27,TMAX,406
USC00024829,2014-05-09,TMIN,172
USC00027187,2014-03-16,TMIN,111
USW00053162,2010-07-23,TMAX,368
USW00023183,2009-08-03,TMAX,456
USC00025270,2009-02-01,TMIN,-11
USC00024977,2005-10-30,TMIN,144
USC00024977,2013-02-24,TMIN,78
USC00028499,2007-05-10,TMIN,150
USC00028499,2007-05-10,TMAX,383
USC00021306,2008-01-18,TMIN,-33
USC00024829,2008-06-07,TMAX,400
USC00024977,2005-11-20,TMIN,144
USC00024977,2006-09-18,TMIN,183
USW00053156,2014-01-25,TMAX,225
USC00028112,2006-09-08,TMAX,322
USC00024829,2013-08-15,TMAX,461
USC00027187,2014-03-16,TMAX,256
USC00021314,2013-03-28,TMAX,311
USW00053156,2014-01-25,TMIN,89
USW00053156,2013-09-22,TMAX,309
USC00024977,2010-09-17,TMIN,222
USC00021306,2008-01-18,TMAX,133
USC00024977,2015-04-30,TMIN,189
USC00028499,2013-01-11,TMIN,17
USC00024977,2010-09-17,TMAX,400
USW00053156,2013-06-01,TMAX,405
USC00028499,2013-09-06,TMAX,417
USC00023027,2007-07-23,TMAX,394
USC00023027,2007-07-23,TMIN,222
USW00023183,2005-02-07,TMAX,172
USC00025270,2009-03-26,TMAX,278
USC00027187,2015-12-20,TMAX,178
USC00024977,2005-10-30,TMAX,272
USC00024829,2005-04-22,TMAX,306
USC00023027,2006-07-29,TMIN,250
USC00023027,2005-01-18,TMIN,67
USW00023183,2007-07-02,TMAX,444
USC00027370,2012-02-14,TMAX,194
USC00025270,2010-12-21,TMAX,206
USC00021314,2008-02-15,TMAX,194
USC00023027,2006-07-29,TMAX,344
USC00021314,2015-04-02,TMIN,111
USW00053156,2013-04-18,TMIN,58
USW00053162,2010-07-23,TMIN,259
USW00023183,2011-02-14,TMAX,272
USC00028112,2006-06-25,TMAX,417
USC00021314,2015-06-21,TMIN,239
USC00025270,2010-12-27,TMIN,28
USC00028499,2008-03-28,TMAX,306
USW00053156,2013-04-18,TMAX,224
USC00024829,2006-05-22,TMIN,222
USC00029634,2005-09-19,TMAX,389
USC00029634,2015-11-14,TMAX,250
USC00027370,2006-02-05,TMIN,11
USW00023183,2009-09-16,TMAX,361
USC00024829,2007-09-19,TMIN,244
USC00025270,2009-03-26,TMIN,94
USC00027370,2012-02-14,TMIN,67
USC00021514,2005-06-14,TMAX,417
USW00023183,2009-02-07,TMAX,222
USC00021306,2007-05-12,TMAX,411
USC00024829,2011-08-16,TMAX,417
USC00027370,2008-02-28,TMAX,267
USC00021306,2006-07-03,TMAX,411
USC00027370,2010-07-31,TMIN,244
USC00029634,2005-01-10,TMAX,183
USC00024829,2014-12-12,TMAX,233
USC00029634,2005-01-10,TMIN,100
USC00024829,2015-09-30,TMAX,411
USC00028499,2013-01-11,TMAX,139
USW00023183,2008-01-21,TMAX,178
USC00025270,2010-02-03,TMIN,94
USC00025270,2010-02-03,TMAX,228
USW00023183,2011-06-21,TMAX,428
USC00029634,2012-09-26,TMAX,356
USC00021514,2007-04-21,TMIN,72
USW00023183,2015-04-26,TMIN,122
USC00025270,2009-08-13,TMAX,406
USW00023183,2015-10-17,TMAX,317
USW00053162,2013-05-13,TMIN,181
USW00053162,2012-04-09,TMIN,91
USC00028499,2012-12-17,TMAX,172
USC00024829,2005-12-09,TMAX,217
USC00029634,2011-07-30,TMAX,428
USW00023183,2011-10-16,TMIN,206
USW00053162,2013-05-13,TMAX,384
USC00021314,2008-09-24,TMIN,194
USW00023183,2011-10-16,TMAX,361
USC00021314,2010-10-05,TMAX,350
USC00023027,2007-07-09,TMIN,272
USW00053162,2014-03-03,TMAX,220
USC00029634,2010-10-10,TMIN,167
USW00023183,2005-04-06,TMAX,317
USC00029634,2011-10-07,TMAX,250
USW00023183,2011-09-07,TMIN,306
USC00021306,2006-07-03,TMIN,278
USC00029634,2012-09-26,TMIN,194
USC00028499,2007-07-12,TMAX,422
USC00024977,2010-05-29,TMAX,339
USC00021306,2009-02-28,TMAX,294
USC00025270,2013-04-08,TMAX,311
USC00021314,2013-04-05,TMIN,117
USC00024977,2012-11-24,TMAX,278
USC00021314,2014-10-27,TMAX,367
USC00029634,2011-10-07,TMIN,111
USC00021314,2005-09-16,TMIN,161
USC00027370,2006-02-05,TMAX,256
USC00029634,2008-11-01,TMIN,167
USC00023027,2008-03-07,TMIN,33
USC00024977,2010-05-29,TMIN,167
USC00024829,2008-05-20,TMIN,278
USW00023183,2009-01-02,TMIN,72
USC00029634,2005-07-21,TMIN,294
USC00025270,2006-07-19,TMIN,289
USC00028499,2012-12-17,TMIN,6
USC00024829,2007-09-19,TMAX,378
USW00053162,2011-10-02,TMAX,356
USC00028499,2010-05-25,TMIN,100
USC00028499,2010-05-25,TMAX,306
USC00027370,2010-07-31,TMAX,367
USC00025270,2012-10-03,TMIN,150
USC00025270,2012-10-03,TMAX,406
USW00023183,2015-10-14,TMAX,378
USC00029634,2015-05-23,TMIN,139
USW00023183,2012-12-30,TMAX,133
USC00025270,2005-01-16,TMIN,6
USC00029634,2011-07-11,TMAX,383
USC00024977,2011-02-10,TMIN,61
USC00027187,2014-11-30,TMIN,67
USC00029634,2011-07-30,TMIN,294
USC00029634,2011-07-11,TMIN,244
USC00024977,2011-02-10,TMAX,183
USC00029634,2013-01-17,TMAX,222
USW00023183,2015-04-26,TMAX,239
USW00053156,2012-08-07,TMIN,299
USW00053162,2012-07-30,TMAX,358
USC00021514,2005-06-14,TMIN,206
USC00024977,2014-12-16,TMAX,172
USC00024977,2011-01-14,TMIN,44
USW00053156,2013-10-15,TMIN,93
USW00053156,2013-10-15,TMAX,265
USW00053156,2010-06-19,TMAX,395
USC00027370,2006-02-28,TMIN,122
USW00023183,2011-04-16,TMIN,167
USW00023183,2007-07-02,TMIN,294
USC00028499,2008-02-27,TMIN,100
USC00021306,2007-05-12,TMIN,172
